metric,value
total_rows,106786
train_rows,69166
validation_rows,13912
test_rows,23708
family_count,110
appliance_count,440
period_train,2025-01-01~2025-10-31
period_validation,2025-11-01~2025-12-31
period_test,2026-01-01~2026-03-31
noise,day_jitter=+-1; time_jitter=30~90min; missing=3~7%; duplicate=1~3%; weekend_boost=5~18%; family-specific duration/energy/time
split_rows.train,69166
split_rows.validation,13912
split_rows.test,23708
appliance_rows.robot_cleaner,34115
appliance_rows.washer,15884
appliance_rows.dishwasher,40865
appliance_rows.dryer,15922
change_type_family_count.interval_change,77
change_type_family_count.interval_and_frequency_change,22
change_type_family_count.none,22
change_type_family_count.frequency_change,66
change_type_row_count.interval_change,44680
change_type_row_count.interval_and_frequency_change,14861
change_type_row_count.none,21044
change_type_row_count.frequency_change,26201
