log_id,user_id,family_id,appliance_id,appliance_type,device_name,event_type,action_type,operation_state,mode,started_at,ended_at,usage_date,duration_minutes,energy_kwh,error_code,source,dataset_split,period_label,expected_base_cycle_days,expected_changed_cycle_days,expected_base_daily_frequency,expected_changed_daily_frequency,expected_change_type,created_at
TRAIN_000064132,U101,F101,F101_ROBOT_CLEANER,robot_cleaner,F101_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T07:10:00+09:00,2025-01-01T07:54:00+09:00,2025-01-01,44,0.223,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T07:54:00+09:00
TRAIN_000014264,U023,F023,F023_ROBOT_CLEANER,robot_cleaner,F023_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T07:15:00+09:00,2025-01-01T08:11:00+09:00,2025-01-01,56,0.215,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T08:11:00+09:00
TRAIN_000032318,U051,F051,F051_ROBOT_CLEANER,robot_cleaner,F051_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T07:41:00+09:00,2025-01-01T08:36:00+09:00,2025-01-01,55,0.168,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T08:36:00+09:00
TRAIN_000026522,U042,F042,F042_ROBOT_CLEANER,robot_cleaner,F042_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T07:59:00+09:00,2025-01-01T08:56:00+09:00,2025-01-01,57,0.225,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T08:56:00+09:00
TRAIN_000059166,U093,F093,F093_ROBOT_CLEANER,robot_cleaner,F093_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T08:00:00+09:00,2025-01-01T09:04:00+09:00,2025-01-01,64,0.134,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,2,interval_and_frequency_change,2025-01-01T09:04:00+09:00
TRAIN_000044518,U070,F070,F070_ROBOT_CLEANER,robot_cleaner,F070_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T08:17:00+09:00,2025-01-01T09:17:00+09:00,2025-01-01,60,0.173,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T09:17:00+09:00
TRAIN_000028476,U045,F045,F045_ROBOT_CLEANER,robot_cleaner,F045_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T08:22:00+09:00,2025-01-01T09:26:00+09:00,2025-01-01,64,0.195,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T09:26:00+09:00
TRAIN_000057866,U091,F091,F091_ROBOT_CLEANER,robot_cleaner,F091_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T08:24:00+09:00,2025-01-01T08:59:00+09:00,2025-01-01,35,0.165,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,2,interval_and_frequency_change,2025-01-01T08:59:00+09:00
TRAIN_000017507,U028,F028,F028_ROBOT_CLEANER,robot_cleaner,F028_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T08:25:00+09:00,2025-01-01T09:17:00+09:00,2025-01-01,52,0.212,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T09:17:00+09:00
TRAIN_000037427,U059,F059,F059_ROBOT_CLEANER,robot_cleaner,F059_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T08:25:00+09:00,2025-01-01T09:14:00+09:00,2025-01-01,49,0.23,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T09:14:00+09:00
TRAIN_000041917,U066,F066,F066_ROBOT_CLEANER,robot_cleaner,F066_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T08:26:00+09:00,2025-01-01T09:25:00+09:00,2025-01-01,59,0.166,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T09:25:00+09:00
TRAIN_000020077,U032,F032,F032_ROBOT_CLEANER,robot_cleaner,F032_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T08:32:00+09:00,2025-01-01T09:35:00+09:00,2025-01-01,63,0.135,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T09:35:00+09:00
TRAIN_000011630,U019,F019,F019_ROBOT_CLEANER,robot_cleaner,F019_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T08:33:00+09:00,2025-01-01T09:30:00+09:00,2025-01-01,57,0.207,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T09:30:00+09:00
TRAIN_000064641,U102,F102,F102_ROBOT_CLEANER,robot_cleaner,F102_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T08:44:00+09:00,2025-01-01T09:51:00+09:00,2025-01-01,67,0.149,,multi_family_synthetic_thinq_like_log,train,base_routine,1,3,1,1,interval_change,2025-01-01T09:51:00+09:00
TRAIN_000018164,U029,F029,F029_ROBOT_CLEANER,robot_cleaner,F029_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T08:46:00+09:00,2025-01-01T09:52:00+09:00,2025-01-01,66,0.123,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T09:52:00+09:00
TRAIN_000010999,U018,F018,F018_ROBOT_CLEANER,robot_cleaner,F018_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T08:48:00+09:00,2025-01-01T09:46:00+09:00,2025-01-01,58,0.132,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T09:46:00+09:00
TRAIN_000067671,U108,F108,F108_ROBOT_CLEANER,robot_cleaner,F108_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T08:52:00+09:00,2025-01-01T09:56:00+09:00,2025-01-01,64,0.154,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,interval_change,2025-01-01T09:56:00+09:00
TRAIN_000034885,U055,F055,F055_ROBOT_CLEANER,robot_cleaner,F055_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T08:56:00+09:00,2025-01-01T10:08:00+09:00,2025-01-01,72,0.194,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:08:00+09:00
TRAIN_000023959,U038,F038,F038_ROBOT_CLEANER,robot_cleaner,F038_robot_cleaner,usage,start,completed,auto_clean,2025-01-01T09:01:00+09:00,2025-01-01T09:55:00+09:00,2025-01-01,54,0.227,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T09:55:00+09:00
TRAIN_000029121,U046,F046,F046_ROBOT_CLEANER,robot_cleaner,F046_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T09:02:00+09:00,2025-01-01T09:59:00+09:00,2025-01-01,57,0.176,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T09:59:00+09:00
TRAIN_000024595,U039,F039,F039_ROBOT_CLEANER,robot_cleaner,F039_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T09:14:00+09:00,2025-01-01T10:12:00+09:00,2025-01-01,58,0.178,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:12:00+09:00
TRAIN_000035522,U056,F056,F056_ROBOT_CLEANER,robot_cleaner,F056_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T09:20:00+09:00,2025-01-01T10:23:00+09:00,2025-01-01,63,0.156,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:23:00+09:00
TRAIN_000014913,U024,F024,F024_ROBOT_CLEANER,robot_cleaner,F024_robot_cleaner,usage,start,completed,quiet_clean,2025-01-01T09:21:00+09:00,2025-01-01T10:04:00+09:00,2025-01-01,43,0.165,,multi_family_synthetic_thinq_like_log,train,base_routine,1,2,1,1,interval_change,2025-01-01T10:04:00+09:00
TRAIN_000052168,U082,F082,F082_ROBOT_CLEANER,robot_cleaner,F082_robot_cleaner,usage,start,completed,edge_clean,2025-01-01T09:28:00+09:00,2025-01-01T10:26:00+09:00,2025-01-01,58,0.186,,multi_family_synthetic_thinq_like_log,train,base_routine,1,1,1,1,none,2025-01-01T10:26:00+09:00
