params_id,minRecentCount,diffThresholdDays,maxRecentStd,alpha,frequencyDiffThreshold,frequencyRecentWindowDays,change_type_accuracy,interval_change_precision,interval_change_recall,interval_change_f1,frequency_change_precision,frequency_change_recall,frequency_change_f1,overall_change_precision,overall_change_recall,overall_change_f1,cycle_mae,daily_frequency_mae,score
params_0386,2,0.5,2.0,0.9,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_0390,2,0.5,2.0,0.9,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_0394,2,0.5,2.0,0.9,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_0786,2,0.75,2.0,0.9,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_0790,2,0.75,2.0,0.9,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_0794,2,0.75,2.0,0.9,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_1186,2,1.0,2.0,0.9,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_1190,2,1.0,2.0,0.9,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_1194,2,1.0,2.0,0.9,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_2386,3,0.5,2.0,0.9,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_2390,3,0.5,2.0,0.9,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_2394,3,0.5,2.0,0.9,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_2786,3,0.75,2.0,0.9,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_2790,3,0.75,2.0,0.9,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_2794,3,0.75,2.0,0.9,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_3186,3,1.0,2.0,0.9,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_3190,3,1.0,2.0,0.9,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_3194,3,1.0,2.0,0.9,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_4386,4,0.5,2.0,0.9,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_4390,4,0.5,2.0,0.9,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_4394,4,0.5,2.0,0.9,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
params_4786,4,0.75,2.0,0.9,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.04,0.98312
