params_id,appliance_type,expected_change_type,actual_change_type,pass_change_type,base_cycle_days,recent_cycle_days,adapted_cycle_days,cycle_changed,base_daily_frequency,recent_daily_frequency,adapted_daily_frequency,frequency_changed,change_type,change_confidence,next_expected_date,reason
params_0001,dishwasher,frequency_change,frequency_change,True,1.0,1.0,1.0,False,1.0,1.86,1.26,True,frequency_change,0.86,2026-04-01,"최근 하루 사용 횟수가 늘어난 것 같아요. 기존에는 하루 1.0회 사용했지만, 최근에는 하루 1.86회 사용하는 패턴이 보여요."
params_0001,dryer,interval_change,interval_change,True,3.0,4.0,3.3,True,1.0,1.0,1.0,False,interval_change,0.703,2026-03-31,"최근 사용 주기가 바뀐 것 같아요. 기존에는 약 3.0일마다 사용했지만, 최근에는 약 4.0일 간격으로 사용되고 있어요."
params_0001,robot_cleaner,interval_change,interval_change,True,1.0,2.0,1.3,True,1.0,1.0,1.0,False,interval_change,0.55,2026-03-31,"최근 사용 주기가 바뀐 것 같아요. 기존에는 약 1.0일마다 사용했지만, 최근에는 약 2.0일 간격으로 사용되고 있어요."
params_0001,washer,interval_change,none,False,3.0,4.0,3.0,False,1.0,1.0,1.0,False,none,0,2026-04-01,최근 사용 패턴은 기존 루틴과 크게 다르지 않아요.
params_0002,dishwasher,frequency_change,frequency_change,True,1.0,1.0,1.0,False,1.0,1.93,1.28,True,frequency_change,0.93,2026-04-01,"최근 하루 사용 횟수가 늘어난 것 같아요. 기존에는 하루 1.0회 사용했지만, 최근에는 하루 1.93회 사용하는 패턴이 보여요."
params_0002,dryer,interval_change,interval_change,True,3.0,4.0,3.3,True,1.0,1.0,1.0,False,interval_change,0.703,2026-03-31,"최근 사용 주기가 바뀐 것 같아요. 기존에는 약 3.0일마다 사용했지만, 최근에는 약 4.0일 간격으로 사용되고 있어요."
params_0002,robot_cleaner,interval_change,interval_change,True,1.0,2.0,1.3,True,1.0,1.0,1.0,False,interval_change,0.55,2026-03-31,"최근 사용 주기가 바뀐 것 같아요. 기존에는 약 1.0일마다 사용했지만, 최근에는 약 2.0일 간격으로 사용되고 있어요."
params_0002,washer,interval_change,none,False,3.0,4.0,3.0,False,1.0,1.0,1.0,False,none,0,2026-04-01,최근 사용 패턴은 기존 루틴과 크게 다르지 않아요.
params_0003,dishwasher,frequency_change,frequency_change,True,1.0,1.0,1.0,False,1.0,1.9,1.27,True,frequency_change,0.9,2026-04-01,"최근 하루 사용 횟수가 늘어난 것 같아요. 기존에는 하루 1.0회 사용했지만, 최근에는 하루 1.9회 사용하는 패턴이 보여요."
params_0003,dryer,interval_change,interval_change,True,3.0,4.0,3.3,True,1.0,1.0,1.0,False,interval_change,0.703,2026-03-31,"최근 사용 주기가 바뀐 것 같아요. 기존에는 약 3.0일마다 사용했지만, 최근에는 약 4.0일 간격으로 사용되고 있어요."
params_0003,robot_cleaner,interval_change,interval_change,True,1.0,2.0,1.3,True,1.0,1.0,1.0,False,interval_change,0.55,2026-03-31,"최근 사용 주기가 바뀐 것 같아요. 기존에는 약 1.0일마다 사용했지만, 최근에는 약 2.0일 간격으로 사용되고 있어요."
params_0003,washer,interval_change,none,False,3.0,4.0,3.0,False,1.0,1.0,1.0,False,none,0,2026-04-01,최근 사용 패턴은 기존 루틴과 크게 다르지 않아요.
params_0004,dishwasher,frequency_change,frequency_change,True,1.0,1.0,1.0,False,1.0,1.9,1.27,True,frequency_change,0.9,2026-04-01,"최근 하루 사용 횟수가 늘어난 것 같아요. 기존에는 하루 1.0회 사용했지만, 최근에는 하루 1.9회 사용하는 패턴이 보여요."
params_0004,dryer,interval_change,interval_change,True,3.0,4.0,3.3,True,1.0,1.0,1.0,False,interval_change,0.703,2026-03-31,"최근 사용 주기가 바뀐 것 같아요. 기존에는 약 3.0일마다 사용했지만, 최근에는 약 4.0일 간격으로 사용되고 있어요."
params_0004,robot_cleaner,interval_change,interval_change,True,1.0,2.0,1.3,True,1.0,1.0,1.0,False,interval_change,0.55,2026-03-31,"최근 사용 주기가 바뀐 것 같아요. 기존에는 약 1.0일마다 사용했지만, 최근에는 약 2.0일 간격으로 사용되고 있어요."
params_0004,washer,interval_change,none,False,3.0,4.0,3.0,False,1.0,1.0,1.0,False,none,0,2026-04-01,최근 사용 패턴은 기존 루틴과 크게 다르지 않아요.
params_0005,dishwasher,frequency_change,frequency_change,True,1.0,1.0,1.0,False,1.0,1.86,1.26,True,frequency_change,0.86,2026-04-01,"최근 하루 사용 횟수가 늘어난 것 같아요. 기존에는 하루 1.0회 사용했지만, 최근에는 하루 1.86회 사용하는 패턴이 보여요."
params_0005,dryer,interval_change,interval_change,True,3.0,4.0,3.3,True,1.0,1.0,1.0,False,interval_change,0.703,2026-03-31,"최근 사용 주기가 바뀐 것 같아요. 기존에는 약 3.0일마다 사용했지만, 최근에는 약 4.0일 간격으로 사용되고 있어요."
params_0005,robot_cleaner,interval_change,interval_change,True,1.0,2.0,1.3,True,1.0,1.0,1.0,False,interval_change,0.55,2026-03-31,"최근 사용 주기가 바뀐 것 같아요. 기존에는 약 1.0일마다 사용했지만, 최근에는 약 2.0일 간격으로 사용되고 있어요."
