log_id,user_id,family_id,appliance_id,appliance_type,device_name,event_type,action_type,operation_state,mode,started_at,ended_at,usage_date,duration_minutes,energy_kwh,error_code,source,dataset_split,period_label,created_at
TRAIN_000001,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,quiet_clean,2025-01-01T09:43:00+09:00,2025-01-01T10:30:00+09:00,2025-01-01,47,0.203,,dummy_thinq_like_log,train,base_routine,2025-01-01T10:30:00+09:00
TRAIN_000731,U001,F001,WM001,washer,세탁기,usage,start,completed,quick_wash,2025-01-01T18:51:00+09:00,2025-01-01T19:48:00+09:00,2025-01-01,57,0.464,,dummy_thinq_like_log,train,base_routine,2025-01-01T19:48:00+09:00
TRAIN_000732,U001,F001,DR001,dryer,건조기,usage,start,completed,speed_dry,2025-01-01T21:03:00+09:00,2025-01-01T22:13:00+09:00,2025-01-01,70,1.31,,dummy_thinq_like_log,train,base_routine,2025-01-01T22:13:00+09:00
TRAIN_000366,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,standard,2025-01-01T21:17:00+09:00,2025-01-01T22:33:00+09:00,2025-01-01,76,1.002,,dummy_thinq_like_log,train,base_routine,2025-01-01T22:33:00+09:00
TRAIN_000002,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,quiet_clean,2025-01-02T09:43:00+09:00,2025-01-02T10:22:00+09:00,2025-01-02,39,0.141,,dummy_thinq_like_log,train,base_routine,2025-01-02T10:22:00+09:00
TRAIN_000367,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,standard,2025-01-02T20:57:00+09:00,2025-01-02T22:16:00+09:00,2025-01-02,79,0.901,,dummy_thinq_like_log,train,base_routine,2025-01-02T22:16:00+09:00
TRAIN_000003,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,quiet_clean,2025-01-03T10:10:00+09:00,2025-01-03T11:02:00+09:00,2025-01-03,52,0.179,,dummy_thinq_like_log,train,base_routine,2025-01-03T11:02:00+09:00
TRAIN_000368,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,standard,2025-01-03T21:08:00+09:00,2025-01-03T22:11:00+09:00,2025-01-03,63,1.028,,dummy_thinq_like_log,train,base_routine,2025-01-03T22:11:00+09:00
TRAIN_000004,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,edge_clean,2025-01-04T10:14:00+09:00,2025-01-04T11:16:00+09:00,2025-01-04,62,0.203,,dummy_thinq_like_log,train,base_routine,2025-01-04T11:16:00+09:00
TRAIN_000733,U001,F001,WM001,washer,세탁기,usage,start,completed,quick_wash,2025-01-04T19:22:00+09:00,2025-01-04T20:31:00+09:00,2025-01-04,69,0.591,,dummy_thinq_like_log,train,base_routine,2025-01-04T20:31:00+09:00
TRAIN_000369,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,quick,2025-01-04T20:52:00+09:00,2025-01-04T22:04:00+09:00,2025-01-04,72,0.951,,dummy_thinq_like_log,train,base_routine,2025-01-04T22:04:00+09:00
TRAIN_000734,U001,F001,DR001,dryer,건조기,usage,start,completed,normal_dry,2025-01-04T21:29:00+09:00,2025-01-04T22:50:00+09:00,2025-01-04,81,1.632,,dummy_thinq_like_log,train,base_routine,2025-01-04T22:50:00+09:00
TRAIN_000005,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,edge_clean,2025-01-05T10:12:00+09:00,2025-01-05T11:16:00+09:00,2025-01-05,64,0.194,,dummy_thinq_like_log,train,base_routine,2025-01-05T11:16:00+09:00
TRAIN_000370,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,intensive,2025-01-05T21:00:00+09:00,2025-01-05T22:20:00+09:00,2025-01-05,80,0.871,,dummy_thinq_like_log,train,base_routine,2025-01-05T22:20:00+09:00
TRAIN_000006,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,auto_clean,2025-01-06T09:58:00+09:00,2025-01-06T10:56:00+09:00,2025-01-06,58,0.151,,dummy_thinq_like_log,train,base_routine,2025-01-06T10:56:00+09:00
TRAIN_000371,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,intensive,2025-01-06T20:46:00+09:00,2025-01-06T22:03:00+09:00,2025-01-06,77,1.14,,dummy_thinq_like_log,train,base_routine,2025-01-06T22:03:00+09:00
TRAIN_000007,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,quiet_clean,2025-01-07T10:15:00+09:00,2025-01-07T11:10:00+09:00,2025-01-07,55,0.174,,dummy_thinq_like_log,train,base_routine,2025-01-07T11:10:00+09:00
TRAIN_000735,U001,F001,WM001,washer,세탁기,usage,start,completed,bedding,2025-01-07T19:05:00+09:00,2025-01-07T19:53:00+09:00,2025-01-07,48,0.47,,dummy_thinq_like_log,train,base_routine,2025-01-07T19:53:00+09:00
TRAIN_000372,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,intensive,2025-01-07T21:19:00+09:00,2025-01-07T22:47:00+09:00,2025-01-07,88,1.099,,dummy_thinq_like_log,train,base_routine,2025-01-07T22:47:00+09:00
TRAIN_000736,U001,F001,DR001,dryer,건조기,usage,start,completed,bedding_dry,2025-01-07T21:21:00+09:00,2025-01-07T22:46:00+09:00,2025-01-07,85,1.228,,dummy_thinq_like_log,train,base_routine,2025-01-07T22:46:00+09:00
TRAIN_000008,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,edge_clean,2025-01-08T10:08:00+09:00,2025-01-08T11:13:00+09:00,2025-01-08,65,0.175,,dummy_thinq_like_log,train,base_routine,2025-01-08T11:13:00+09:00
TRAIN_000373,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,quick,2025-01-08T21:00:00+09:00,2025-01-08T22:24:00+09:00,2025-01-08,84,1.022,,dummy_thinq_like_log,train,base_routine,2025-01-08T22:24:00+09:00
TRAIN_000009,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,quiet_clean,2025-01-09T10:07:00+09:00,2025-01-09T10:59:00+09:00,2025-01-09,52,0.196,,dummy_thinq_like_log,train,base_routine,2025-01-09T10:59:00+09:00
TRAIN_000374,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,intensive,2025-01-09T21:03:00+09:00,2025-01-09T22:10:00+09:00,2025-01-09,67,1.034,,dummy_thinq_like_log,train,base_routine,2025-01-09T22:10:00+09:00
TRAIN_000010,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,auto_clean,2025-01-10T10:00:00+09:00,2025-01-10T10:58:00+09:00,2025-01-10,58,0.193,,dummy_thinq_like_log,train,base_routine,2025-01-10T10:58:00+09:00
TRAIN_000737,U001,F001,WM001,washer,세탁기,usage,start,completed,quick_wash,2025-01-10T19:21:00+09:00,2025-01-10T20:44:00+09:00,2025-01-10,83,0.594,,dummy_thinq_like_log,train,base_routine,2025-01-10T20:44:00+09:00
TRAIN_000375,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,intensive,2025-01-10T21:19:00+09:00,2025-01-10T22:29:00+09:00,2025-01-10,70,1.106,,dummy_thinq_like_log,train,base_routine,2025-01-10T22:29:00+09:00
TRAIN_000738,U001,F001,DR001,dryer,건조기,usage,start,completed,normal_dry,2025-01-10T21:25:00+09:00,2025-01-10T22:39:00+09:00,2025-01-10,74,1.07,,dummy_thinq_like_log,train,base_routine,2025-01-10T22:39:00+09:00
TRAIN_000011,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,quiet_clean,2025-01-11T10:17:00+09:00,2025-01-11T11:09:00+09:00,2025-01-11,52,0.165,,dummy_thinq_like_log,train,base_routine,2025-01-11T11:09:00+09:00
TRAIN_000376,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,standard,2025-01-11T21:05:00+09:00,2025-01-11T22:38:00+09:00,2025-01-11,93,0.917,,dummy_thinq_like_log,train,base_routine,2025-01-11T22:38:00+09:00
TRAIN_000012,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,edge_clean,2025-01-12T10:17:00+09:00,2025-01-12T11:17:00+09:00,2025-01-12,60,0.214,,dummy_thinq_like_log,train,base_routine,2025-01-12T11:17:00+09:00
TRAIN_000377,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,quick,2025-01-12T20:53:00+09:00,2025-01-12T22:09:00+09:00,2025-01-12,76,0.962,,dummy_thinq_like_log,train,base_routine,2025-01-12T22:09:00+09:00
TRAIN_000013,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,auto_clean,2025-01-13T09:58:00+09:00,2025-01-13T10:46:00+09:00,2025-01-13,48,0.155,,dummy_thinq_like_log,train,base_routine,2025-01-13T10:46:00+09:00
TRAIN_000739,U001,F001,WM001,washer,세탁기,usage,start,completed,quick_wash,2025-01-13T19:03:00+09:00,2025-01-13T20:10:00+09:00,2025-01-13,67,0.401,,dummy_thinq_like_log,train,base_routine,2025-01-13T20:10:00+09:00
TRAIN_000740,U001,F001,DR001,dryer,건조기,usage,start,completed,normal_dry,2025-01-13T21:13:00+09:00,2025-01-13T22:38:00+09:00,2025-01-13,85,1.211,,dummy_thinq_like_log,train,base_routine,2025-01-13T22:38:00+09:00
TRAIN_000378,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,intensive,2025-01-13T21:14:00+09:00,2025-01-13T22:43:00+09:00,2025-01-13,89,0.907,,dummy_thinq_like_log,train,base_routine,2025-01-13T22:43:00+09:00
TRAIN_000014,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,quiet_clean,2025-01-14T10:03:00+09:00,2025-01-14T11:04:00+09:00,2025-01-14,61,0.196,,dummy_thinq_like_log,train,base_routine,2025-01-14T11:04:00+09:00
TRAIN_000379,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,quick,2025-01-14T21:00:00+09:00,2025-01-14T22:08:00+09:00,2025-01-14,68,1.004,,dummy_thinq_like_log,train,base_routine,2025-01-14T22:08:00+09:00
TRAIN_000015,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,quiet_clean,2025-01-15T10:11:00+09:00,2025-01-15T11:08:00+09:00,2025-01-15,57,0.184,,dummy_thinq_like_log,train,base_routine,2025-01-15T11:08:00+09:00
TRAIN_000380,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,standard,2025-01-15T20:56:00+09:00,2025-01-15T22:07:00+09:00,2025-01-15,71,0.922,,dummy_thinq_like_log,train,base_routine,2025-01-15T22:07:00+09:00
TRAIN_000016,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,auto_clean,2025-01-16T10:16:00+09:00,2025-01-16T11:18:00+09:00,2025-01-16,62,0.187,,dummy_thinq_like_log,train,base_routine,2025-01-16T11:18:00+09:00
TRAIN_000741,U001,F001,WM001,washer,세탁기,usage,start,completed,quick_wash,2025-01-16T18:44:00+09:00,2025-01-16T19:44:00+09:00,2025-01-16,60,0.536,,dummy_thinq_like_log,train,base_routine,2025-01-16T19:44:00+09:00
TRAIN_000742,U001,F001,DR001,dryer,건조기,usage,start,completed,speed_dry,2025-01-16T20:34:00+09:00,2025-01-16T22:06:00+09:00,2025-01-16,92,1.445,,dummy_thinq_like_log,train,base_routine,2025-01-16T22:06:00+09:00
TRAIN_000381,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,standard,2025-01-16T20:50:00+09:00,2025-01-16T22:05:00+09:00,2025-01-16,75,1.163,,dummy_thinq_like_log,train,base_routine,2025-01-16T22:05:00+09:00
TRAIN_000017,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,auto_clean,2025-01-17T10:14:00+09:00,2025-01-17T11:10:00+09:00,2025-01-17,56,0.189,,dummy_thinq_like_log,train,base_routine,2025-01-17T11:10:00+09:00
TRAIN_000382,U001,F001,DW001,dishwasher,주방 식기세척기,usage,start,completed,standard,2025-01-17T21:02:00+09:00,2025-01-17T22:18:00+09:00,2025-01-17,76,0.698,,dummy_thinq_like_log,train,base_routine,2025-01-17T22:18:00+09:00
TRAIN_000018,U001,F001,RC001,robot_cleaner,거실 로봇청소기,usage,start,completed,edge_clean,2025-01-18T10:11:00+09:00,2025-01-18T10:54:00+09:00,2025-01-18,43,0.17,,dummy_thinq_like_log,train,base_routine,2025-01-18T10:54:00+09:00
